"athlete","sport","substance_reason","sanction_terms","sanction_announced","sanction_date","support_personnel","paralympic","multiple_sports","sanction_type","substance_cat","substance_group"
"ostovich-berdon, rachael","mixed martial arts","ostarine","1-year suspension","06/18/2020",2020-06-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ostovich-berdon, rachael","mixed martial arts","gw1516","1-year suspension","06/18/2020",2020-06-18,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"romero noboa, isidro","triathlon","androgenic anabolic steroid","4-year suspension; loss of results","05/22/2020",2020-05-22,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"romero noboa, isidro","triathlon","cannabinoids","4-year suspension; loss of results","05/22/2020",2020-05-22,FALSE,FALSE,FALSE,"analytic","multiple","S8 CANNABINOIDS"
"romero noboa, isidro","triathlon","anastrozole","4-year suspension; loss of results","05/22/2020",2020-05-22,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"romero noboa, isidro","triathlon","clomiphene","4-year suspension; loss of results","05/22/2020",2020-05-22,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"romero noboa, isidro","triathlon","gw1516","4-year suspension; loss of results","05/22/2020",2020-05-22,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"hurst, rowdy","weightlifting","androgenic anabolic steroid","4-year suspension; loss of results","04/24/2020",2020-04-24,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"hurst, rowdy","weightlifting","clomiphene","4-year suspension; loss of results","04/24/2020",2020-04-24,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"hurst, rowdy","weightlifting","modafinil","4-year suspension; loss of results","04/24/2020",2020-04-24,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"gleaves, john","cycling","oxandrolone","4-year suspension; loss of results","03/20/2020",2020-03-20,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"gleaves, john","cycling","clomiphene","4-year suspension; loss of results","03/20/2020",2020-03-20,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"aguero, manuel","weightlifting","amphetamine","4-year suspension; loss of results","03/12/2020",2020-03-12,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"aguero, manuel","weightlifting","modafinil","4-year suspension; loss of results","03/12/2020",2020-03-12,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"saint preux, ovince","mixed martial arts","ostarine","3-month suspension","01/31/2020",2020-01-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"saint preux, ovince","mixed martial arts","lgd-4033","3-month suspension","01/31/2020",2020-01-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"saint preux, ovince","mixed martial arts","gw1516","3-month suspension","01/31/2020",2020-01-31,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"sanchez, diego","mixed martial arts","ostarine","3-month suspension","01/31/2020",2020-01-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"sanchez, diego","mixed martial arts","s-23","3-month suspension","01/31/2020",2020-01-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"townsend, dequan","mixed martial arts","cocaine","6-month suspension","01/08/2020",2020-01-08,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"townsend, dequan","mixed martial arts","fentanyl","6-month suspension","01/08/2020",2020-01-08,FALSE,FALSE,FALSE,"analytic","multiple","S7 NARCOTICS"
"akuna, kiara","weightlifting","methandienone","4-year suspension; loss of results","11/27/2019",2019-11-27,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"akuna, kiara","weightlifting","dehydrochloromethyltestosterone (dhcmt)","4-year suspension; loss of results","11/27/2019",2019-11-27,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"franklin, natalie","weightlifting","ostarine","4-year suspension; loss of results","10/10/2019",2019-10-10,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"franklin, natalie","weightlifting","lgd-4033","4-year suspension; loss of results","10/10/2019",2019-10-10,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"smolyakov, dmitry","mixed martial arts","recombinant human erythropoietin (rhuepo)","2-year suspension","09/10/2019",2019-09-10,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"smolyakov, dmitry","mixed martial arts","intact human chorionic gonadtrophin (hcg)","2-year suspension","09/10/2019",2019-09-10,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"maynard, nicole","weightlifting","methenolone","4-year suspension; loss of results","09/04/2019",2019-09-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"maynard, nicole","weightlifting","lgd‐4033","4-year suspension; loss of results","09/04/2019",2019-09-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"maynard, nicole","weightlifting","gw1516","4-year suspension; loss of results","09/04/2019",2019-09-04,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"gouti, thibault","mixed martial arts","ostarine","6-month suspension","08/27/2019",2019-08-27,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"gouti, thibault","mixed martial arts","lgd-4033","6-month suspension","08/27/2019",2019-08-27,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"gouti, thibault","mixed martial arts","gw1516","6-month suspension","08/27/2019",2019-08-27,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"dollaway, cb","mixed martial arts","anastrozole","2-year suspension","08/26/2019",2019-08-26,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"dollaway, cb","mixed martial arts","ghrp-2","2-year suspension","08/26/2019",2019-08-26,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"dollaway, cb","mixed martial arts","ghrp-6","2-year suspension","08/26/2019",2019-08-26,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"dollaway, cb","mixed martial arts","clomiphene","2-year suspension","08/26/2019",2019-08-26,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"dolidze, roman","mixed martial arts","clomiphene","1-year suspension","08/23/2019",2019-08-23,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"dolidze, roman","mixed martial arts","dehydrochloromethyltestosterone (dhcmt)","1-year suspension","08/23/2019",2019-08-23,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"bond, michael","powerlifting","ostarine","4-year suspension; loss of results","08/21/2019",2019-08-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"bond, michael","powerlifting","rad140","4-year suspension; loss of results","08/21/2019",2019-08-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"bond, michael","powerlifting","gw1516","4-year suspension; loss of results","08/21/2019",2019-08-21,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"sacklow, joe","weightlifting","heptaminol","4-year suspension; loss of results","07/17/2019",2019-07-17,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"sacklow, joe","weightlifting","1,4‐dimethylpentylamine (1,4‐dmpa)","4-year suspension; loss of results","07/17/2019",2019-07-17,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"sacklow, joe","weightlifting","octodrine","4-year suspension; loss of results","07/17/2019",2019-07-17,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"sacklow, joe","weightlifting","ostarine","4-year suspension; loss of results","07/17/2019",2019-07-17,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"sacklow, joe","weightlifting","di‐hydroxy‐lgd‐4033","4-year suspension; loss of results","07/17/2019",2019-07-17,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"mosley, mandy","weightlifting","higenamine","16-month suspension; loss of results","06/27/2019",2019-06-27,FALSE,FALSE,FALSE,"analytic","multiple","S3 BETA-2 AGONISTS"
"mosley, mandy","weightlifting","heptaminol","16-month suspension; loss of results","06/27/2019",2019-06-27,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"mosley, mandy","weightlifting","octodrine","16-month suspension; loss of results","06/27/2019",2019-06-27,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"gorgees, alex","mixed martial arts","drostanolone","16-month suspension","05/31/2019",2019-05-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"gorgees, alex","mixed martial arts","dehydrochloromethyltestosterone (dhcmt)","16-month suspension","05/31/2019",2019-05-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"porfirio de araùjo, tayane","brazilian jiu-jitsu","19‐norandrosterone (19‐na)","4-year suspension; loss of results","05/10/2019",2019-05-10,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"porfirio de araùjo, tayane","brazilian jiu-jitsu","19-noretiocholanolone","4-year suspension; loss of results","05/10/2019",2019-05-10,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"magomedov, ruslan","mixed martial arts","methyltestosterone","lifetime suspension","04/01/2019",2019-04-01,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"magomedov, ruslan","mixed martial arts","stanozolol","lifetime suspension","04/01/2019",2019-04-01,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"carrillo, michel","cycling","erythropoietin (epo)","4-year suspension; loss of results","01/18/2019",2019-01-18,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"carrillo, michel","cycling","19‐norandrosterone (19‐na)","4-year suspension; loss of results","01/18/2019",2019-01-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"carrillo, michel","cycling","androgenic-anabolic steroids (aas)","4-year suspension; loss of results","01/18/2019",2019-01-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"carrillo, michel","cycling","clostebol","4-year suspension; loss of results","01/18/2019",2019-01-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"carrillo, michel","cycling","testosterone","4-year suspension; loss of results","01/18/2019",2019-01-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"maia, jennifer","mixed martial arts","furosemide","6-month suspension","01/15/2019",2019-01-15,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"maia, jennifer","mixed martial arts","hydrochlorothiazide","6-month suspension","01/15/2019",2019-01-15,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"maia, jennifer","mixed martial arts","chlorothiazide","6-month suspension","01/15/2019",2019-01-15,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"maia, jennifer","mixed martial arts","thiazide metabolite 4-amino-6-chloro-1,3-benzenedisulfonamide (acb)","6-month suspension","01/15/2019",2019-01-15,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"grove, carl","cycling","trenbolone","public warning","01/04/2019",2019-01-04,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"grove, carl","cycling","clomiphene","public warning","01/04/2019",2019-01-04,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"sekulic, stefan","mixed martial arts","drostanolone","2-year suspension","12/18/2018",2018-12-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"sekulic, stefan","mixed martial arts","metandienone","2-year suspension","12/18/2018",2018-12-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"kandare, bharat vijay","mixed martial arts","boldenone","2-year suspension","12/17/2018",2018-12-17,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"kandare, bharat vijay","mixed martial arts","tamoxifen","2-year suspension","12/17/2018",2018-12-17,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"eyler, bob","archery","cannabinoids","2-year suspension - loss of results","10/01/2018",2018-10-01,FALSE,FALSE,FALSE,"analytic","multiple","S8 CANNABINOIDS"
"eyler, bob","archery","propranolol","2-year suspension - loss of results","10/01/2018",2018-10-01,FALSE,FALSE,FALSE,"analytic","multiple","P1 BETA-BLOCKERS"
"diaz, raul","cycling","erythropoietin (epo)","4-year suspension - loss of results","09/27/2018",2018-09-27,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"diaz, raul","cycling","dexamethasone","4-year suspension - loss of results","09/27/2018",2018-09-27,FALSE,FALSE,FALSE,"analytic","multiple","S9 GLUCOCORTICOIDS"
"frazier, daniel","cycling","androgenic anabolic steroid","1-year suspension - loss of results","08/15/2018",2018-08-15,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"frazier, daniel","cycling","clomiphene","1-year suspension - loss of results","08/15/2018",2018-08-15,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"silva, anderson","mixed martial arts","methyltestosterone","1-year suspension","07/18/2018",2018-07-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"silva, anderson","mixed martial arts","hydrochlorothiazide","1-year suspension","07/18/2018",2018-07-18,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"de lima, marcos rogerio","mixed martial arts","anastrozole","6-month suspension","04/23/2018",2018-04-23,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"de lima, marcos rogerio","mixed martial arts","hydrochlorothiazide","6-month suspension","04/23/2018",2018-04-23,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"griffin, jason","paralympic cycling","benzoylecgonine","1-year suspension - loss of results","04/18/2018",2018-04-18,FALSE,TRUE,FALSE,"analytic","multiple","S6 STIMULANTS"
"griffin, jason","paralympic cycling","methylecgonine","1-year suspension - loss of results","04/18/2018",2018-04-18,FALSE,TRUE,FALSE,"analytic","multiple","S6 STIMULANTS"
"palicka, megan","weightlifting","ostarine","3-year suspension - loss of results; sanction tolled due to retirement","04/06/2018",2018-04-06,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"palicka, megan","weightlifting","rad140","3-year suspension - loss of results; sanction tolled due to retirement","04/06/2018",2018-04-06,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"volrath, frank","weightlifting","ostarine","4-year suspension - loss of results; sanction tolled due to retirement","04/05/2018",2018-04-05,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"volrath, frank","weightlifting","rad140","4-year suspension - loss of results; sanction tolled due to retirement","04/05/2018",2018-04-05,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"volrath, frank","weightlifting","ibutamoren","4-year suspension - loss of results; sanction tolled due to retirement","04/05/2018",2018-04-05,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"roman, lazaro","weightlifting","higenamine","4-year suspension - loss of results","03/09/2018",2018-03-09,FALSE,FALSE,FALSE,"analytic","multiple","S3 BETA-2 AGONISTS"
"roman, lazaro","weightlifting","clomiphene","4-year suspension - loss of results","03/09/2018",2018-03-09,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"roman, lazaro","weightlifting","dehydrochloromethyltestosterone (dhcmt)","4-year suspension - loss of results","03/09/2018",2018-03-09,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"alexandrov, mihail (mike)","swimming","benzoylecgonine","1-year suspension - loss of results","03/06/2018",2018-03-06,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"alexandrov, mihail (mike)","swimming","methylecgonine","1-year suspension - loss of results","03/06/2018",2018-03-06,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"miller, jeffery","cycling","testosterone","4-year suspension - loss of results","12/28/2017",2017-12-28,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"miller, jeffery","cycling","human growth hormone (hgh)","4-year suspension - loss of results","12/28/2017",2017-12-28,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"miller, jeffery","cycling","oxandrolone","4-year suspension - loss of results","12/28/2017",2017-12-28,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"roehrick, nick","mixed martial arts","clomiphene (metabolite)","1-year suspension","09/21/2017",2017-09-21,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"schiefer, john","cycling","clomiphene (metabolite)","6-month suspension - loss of results","09/06/2017",2017-09-06,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"wuebben, zachary","weightlifting","clomiphene","4-year suspension - loss of results","08/31/2017",2017-08-31,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"wuebben, zachary","weightlifting","methylphenidate metabolite ritalinic acid","4-year suspension - loss of results","08/31/2017",2017-08-31,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"leogrande, kayle","cycling","raloxifene","8-year suspension - loss of results","08/28/2017",2017-08-28,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"leogrande, kayle","cycling","ostarine","8-year suspension - loss of results","08/28/2017",2017-08-28,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"leogrande, kayle","cycling","ibutamoren","8-year suspension - loss of results","08/28/2017",2017-08-28,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"leogrande, kayle","cycling","gw1516 sulfone","8-year suspension - loss of results","08/28/2017",2017-08-28,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"leogrande, kayle","cycling","rad140","8-year suspension - loss of results","08/28/2017",2017-08-28,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"leogrande, kayle","cycling","lgd4033","8-year suspension - loss of results","08/28/2017",2017-08-28,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"leogrande, kayle","cycling","andarine","8-year suspension - loss of results","08/28/2017",2017-08-28,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"cannetti, guido","mixed martial arts","hydrochlorothiazide","10-month suspension","08/18/2017",2017-08-18,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"cannetti, guido","mixed martial arts","chlorothiazide","10-month suspension","08/18/2017",2017-08-18,FALSE,FALSE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"cannetti, guido","mixed martial arts","ostarine","10-month suspension","08/18/2017",2017-08-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"cannetti, guido","mixed martial arts","stanozolol metabolites","10-month suspension","08/18/2017",2017-08-18,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"acevedo-fuller, carlee","weightlifting","higenamine","9-month suspension - loss of results","08/16/2017",2017-08-16,FALSE,FALSE,FALSE,"analytic","multiple","S3 BETA-2 AGONISTS"
"acevedo-fuller, carlee","weightlifting","1,4-dimethylpentylamine","9-month suspension - loss of results","08/16/2017",2017-08-16,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"bayer, david","weightlifting","clomiphene","2.5-year suspension - loss of results","06/30/2017",2017-06-30,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"bayer, david","weightlifting","gw1516","2.5-year suspension - loss of results","06/30/2017",2017-06-30,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"sullivan, george","mixed martial arts","clomiphene (metabolite)","1-year suspension; second violation","06/20/2017",2017-06-20,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"dosterschill, robert kyle","weightlifting","androgenic anabolic steroid","4-year suspension - loss of results","05/31/2017",2017-05-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"dosterschill, robert kyle","weightlifting","amphetamine","4-year suspension - loss of results","05/31/2017",2017-05-31,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"dosterschill, robert kyle","weightlifting","drostanolone","4-year suspension - loss of results","05/31/2017",2017-05-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"dosterschill, robert kyle","weightlifting","mesterolone","4-year suspension - loss of results","05/31/2017",2017-05-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"dosterschill, robert kyle","weightlifting","dehydrochloromethyltestosterone (dhcmt)","4-year suspension - loss of results","05/31/2017",2017-05-31,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"abreu, ricardo","mixed martial arts","androgenic anabolic steroid","4-year suspension: sanction is tolled until athlete returns from retirement. second violation.","05/05/2017",2017-05-05,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"abreu, ricardo","mixed martial arts","19-norandrosterone (19-na)","4-year suspension: sanction is tolled until athlete returns from retirement. second violation.","05/05/2017",2017-05-05,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ledet, justin","mixed martial arts","1-testosterone","4-month suspension","04/05/2017",2017-04-05,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ledet, justin","mixed martial arts","1-androstenedione","4-month suspension","04/05/2017",2017-04-05,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"good, lyman","mixed martial arts","1-androstenedione (metabolite)","6-month suspension","04/03/2017",2017-04-03,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"hall, mary","weightlifting","oxandrolone (metabolite)","4-year suspension - loss of results","03/28/2017",2017-03-28,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"andrade, viscardi","mixed martial arts","stanozolol (metabolite)s","2-year suspension","03/21/2017",2017-03-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"dykes, kelly","weightlifting","clenbuterol","4-year suspension - loss of results","03/16/2017",2017-03-16,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"dykes, kelly","weightlifting","ostarine","4-year suspension - loss of results","03/16/2017",2017-03-16,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"dykes, kelly","weightlifting","tamoxifen metabolite","4-year suspension - loss of results","03/16/2017",2017-03-16,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"prenoveau, robert","paralympic curling","hydrochlorothiazide","public warning - loss of results","03/07/2017",2017-03-07,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"prenoveau, robert","paralympic curling","chlorothiazide","public warning - loss of results","03/07/2017",2017-03-07,FALSE,TRUE,FALSE,"analytic","multiple","S5 DIURETICS/MASKING AGENTS"
"pierik, vincent","weightlifting","19-norandrosterone (19-na)","4-year suspension - loss of results","02/21/2017",2017-02-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"pierik, vincent","weightlifting","drostanolone (metabolite)s","4-year suspension - loss of results","02/21/2017",2017-02-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"pierik, vincent","weightlifting","epitrenbolone","4-year suspension - loss of results","02/21/2017",2017-02-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ferreira, carlos diego","mixed martial arts","ostarine","17-month suspension","12/21/2016",2016-12-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ferreira, carlos diego","mixed martial arts","7-keto-dhea","17-month suspension","12/21/2016",2016-12-21,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"mazzie, joseph","roller sports","rad140","4-year suspension - loss of results","12/20/2016",2016-12-20,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"mazzie, joseph","roller sports","ibutamoren","4-year suspension - loss of results","12/20/2016",2016-12-20,FALSE,FALSE,FALSE,"analytic","multiple","S2 PEP HORMONES/G FACTORS/MIMETICS"
"jones, jon","mixed martial arts","clomiphene","1-year suspension","11/07/2016",2016-11-07,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"jones, jon","mixed martial arts","letrozole","1-year suspension","11/07/2016",2016-11-07,FALSE,FALSE,FALSE,"analytic","multiple","S4 HORMONE AND METABOLIC MODULATORS"
"ulloa, camilo","cycling","androgenic anabolic steroid","4-year suspension - loss of results","10/26/2016",2016-10-26,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ulloa, camilo","cycling","methylphenidate","4-year suspension - loss of results","10/26/2016",2016-10-26,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"ciolli, kimberly","cycling","androgenic anabolic steroid","2-year suspension - loss of results","08/22/2016",2016-08-22,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"ciolli, kimberly","cycling","propylhexadrine","2-year suspension - loss of results","08/22/2016",2016-08-22,FALSE,FALSE,FALSE,"analytic","multiple","S6 STIMULANTS"
"abreu, ricardo","mixed martial arts","androgenic anabolic steroid","2-year suspension - loss of results","07/29/2016",2016-07-29,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"abreu, ricardo","mixed martial arts","19-norandrosterone (19-na)","2-year suspension - loss of results","07/29/2016",2016-07-29,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"williams, nia","rugby","19-norandrosterone (19-na)","4-year suspension - loss of results","06/13/2016",2016-06-13,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"williams, nia","rugby","19-noretiocholanolone","4-year suspension - loss of results","06/13/2016",2016-06-13,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
"williams, nia","rugby","drostanolone (metabolite)s","4-year suspension - loss of results","06/13/2016",2016-06-13,FALSE,FALSE,FALSE,"analytic","multiple","S1 ANABOLIC AGENTS"
